Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Mbappé Kylian,A,47,98.0,6.38,6.38,6.31,12,12,39,1.38,1.38,1.55,11,11,35,0.92,0.92,0.95,971,971,3302,80.92,80.92,84.67,88.0,94.0,5.0,4.27,6.0,8.0,7.0,5.0,6.0,5.0,5.0,7.5,6.5,4.5,9.0,7.0,0.0,8.5,8.0,6.0,8.0,4.0,7.0,5.0,9.0,9.0,3.5,7.0,0.0,8.0,5.0,6.0,6.5,6.5,7.0,5.0,0.0,7.0,6.0,4.5,4.0,7.0,6.5,1.0,,2.0,2.0,12.0,23.0,0.8279,620.0,3.0,2.0,38.14,8.0,,,9.0,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,Sursis (2sem.)
Neymar,A,38,82.0,6.71,7.5,6.28,12,1,30,1.37,0.0,1.38,10,1,22,0.83,1.0,0.93,918,90,2443,76.5,90.0,81.43,92.0,111.0,4.5,3.8,7.5,0.0,6.5,4.5,5.0,6.0,6.5,6.0,6.5,6.5,9.0,7.5,9.0,7.0,0.0,6.5,6.5,6.0,0.0,7.0,9.0,8.0,4.0,6.0,4.5,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,5.0,2.0,,,8.0,10.0,6.0,0.8228,981.0,2.0,6.0,49.32,14.0,,,8.0,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,
David Jonathan,A,35,60.0,6.08,6.08,5.3,13,13,42,1.5,1.5,1.57,9,9,20,1.0,1.0,0.9,1154,1154,3328,88.77,88.77,79.24,128.0,166.0,6.0,3.89,5.0,6.5,7.5,6.0,7.0,6.0,4.0,8.0,5.0,4.5,4.0,7.0,8.5,5.0,8.0,3.5,3.5,4.5,4.5,3.0,4.0,4.5,5.0,4.0,7.5,4.0,3.5,5.0,3.0,5.0,5.0,0.0,7.0,4.5,7.0,4.0,3.0,7.0,4.0,2.0,,,3.0,3.0,10.0,0.8458,495.0,4.0,6.0,41.53,12.0,,,4.5,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,Sursis (2sem.)
Terrier Martin,MO,39,60.0,6.46,6.46,6.17,13,13,43,1.31,1.31,1.21,8,8,27,1.0,1.0,1.0,1113,1113,3450,85.62,85.62,80.23,139.0,128.0,6.0,4.88,8.0,4.5,8.0,8.0,7.5,5.0,7.5,6.0,7.0,4.5,6.5,6.0,5.5,5.0,7.5,5.0,6.0,7.0,7.0,6.5,6.5,7.0,7.0,7.0,5.5,7.0,7.0,4.5,7.0,5.5,6.0,4.0,6.0,4.5,8.5,3.5,5.5,7.0,5.0,,,1.0,3.0,3.0,10.0,0.7619,682.0,11.0,10.0,56.25,12.0,,,4.25,Rennes,Lille,2022-11-06,50.0,0.65583,0.62777,0.64342,
Lacazette Alexandre,A,26,49.0,6.0,6.0,5.27,13,13,42,1.15,1.15,1.2,8,8,12,1.0,1.0,0.79,1121,1121,2878,86.23,86.23,68.52,140.0,240.0,6.0,3.25,6.5,8.0,7.0,6.0,4.0,5.0,5.0,6.5,5.5,4.5,7.0,7.0,6.0,4.0,4.5,4.5,0.0,0.0,0.0,4.0,3.0,4.5,6.0,6.5,4.5,5.5,4.0,5.5,4.5,4.0,4.5,6.5,6.5,5.5,7.0,6.5,4.0,4.5,4.5,1.0,,,3.0,3.0,14.0,0.7299,556.0,9.0,13.0,45.19,21.0,,,0.0,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Moffi Terem,A,24,44.0,5.54,4.5,5.05,12,1,39,1.5,0.0,1.21,8,0,14,0.92,0.0,0.9,860,30,2776,71.67,30.0,71.18,108.0,198.0,5.5,3.0,4.5,0.0,4.5,8.0,5.0,6.5,4.5,4.5,7.0,7.0,3.0,7.0,5.0,5.0,4.0,4.0,6.5,4.5,4.5,4.0,8.0,6.0,4.0,4.5,5.5,5.0,4.5,4.5,0.0,6.0,5.0,0.0,5.0,4.0,5.0,4.5,4.0,4.0,3.0,1.0,,,,,5.0,0.7419,281.0,,3.0,41.59,10.0,,,5.5,Lorient,Paris,2022-11-06,50.0,0.47207,0.45952,0.434,
Messi Lionel,A,41,74.0,7.33,6.83,6.56,12,3,36,1.13,1.26,1.36,7,2,13,1.0,1.0,0.97,1057,259,3109,88.08,86.33,86.36,151.0,239.0,6.5,5.86,7.0,8.0,5.5,0.0,7.0,8.0,7.5,8.0,8.0,5.0,8.0,7.0,9.0,8.0,8.0,5.0,5.5,7.0,0.0,4.5,8.0,6.5,0.0,6.0,4.0,7.5,6.0,6.0,8.0,5.5,0.0,0.0,6.0,5.5,5.5,6.5,7.5,7.5,7.0,,1.0,2.0,10.0,13.0,18.0,0.8453,1010.0,,8.0,50.71,3.0,,,6.25,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,
Openda Loïs,A,21,35.0,5.5,5.5,5.5,13,13,13,1.31,1.31,1.31,7,7,7,0.85,0.85,0.85,890,890,890,68.46,68.46,68.46,127.0,127.0,6.0,3.0,8.0,4.5,4.0,4.5,5.5,4.0,4.5,6.5,6.0,7.0,7.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,4.0,14.0,0.7276,290.0,1.0,2.0,36.71,14.0,,,0.0,Lens,Angers,2022-11-05,58.84,0.64435,0.63676,0.61376,
Mama Baldé,MO,17,25.0,5.46,5.46,4.81,13,13,34,1.69,1.69,1.48,7,7,9,0.92,0.92,0.79,1042,1042,2246,80.15,80.15,66.06,149.0,250.0,6.0,2.43,7.5,5.0,4.0,3.5,4.0,8.0,4.0,5.0,8.0,6.5,4.5,4.0,7.0,4.5,5.0,4.5,0.0,0.0,2.0,6.0,4.0,6.0,0.0,0.0,4.5,3.0,4.0,3.0,5.5,0.0,0.0,0.0,0.0,3.0,4.0,4.5,4.0,0.0,1.0,,,1.0,2.0,1.0,8.0,0.7474,422.0,4.0,8.0,46.62,14.0,,,0.0,Troyes,Auxerre,2022-11-04,0.22,0.42392,0.43272,0.42649,
Balogun Folarin,A,19,29.0,5.42,5.42,5.42,13,13,13,1.34,1.34,1.34,7,7,7,0.85,0.85,0.85,957,957,957,73.62,73.62,73.62,137.0,137.0,6.0,2.71,4.5,7.0,3.0,5.0,6.0,4.0,4.5,6.0,7.0,4.0,7.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,,,1.0,3.0,4.0,0.6735,375.0,1.0,2.0,33.33,14.0,,,0.0,Reims,Nantes,2022-11-06,50.0,0.46319,0.45885,0.46317,
Sotoca Florian,A,27,43.0,6.08,6.08,5.63,13,13,39,1.38,1.38,1.11,6,6,10,0.92,0.92,0.87,1060,1060,2948,81.54,81.54,75.59,177.0,295.0,6.0,4.5,6.0,5.0,5.5,3.5,7.5,4.5,6.0,6.0,8.0,7.0,7.0,5.0,8.0,5.5,6.5,6.5,5.0,6.0,5.5,5.5,6.0,0.0,7.0,5.0,5.0,6.0,6.0,5.0,0.0,4.0,6.5,4.5,0.0,4.5,4.5,4.5,6.0,0.0,7.0,1.0,,,3.0,5.0,12.0,0.8008,723.0,12.0,6.0,50.0,15.0,,,6.0,Lens,Angers,2022-11-05,58.84,0.64435,0.63676,0.61376,Sursis (9sem.)
Gouiri Amine,A,26,41.0,5.91,6.19,5.38,11,8,42,0.94,0.96,1.0,6,6,11,1.0,1.0,0.86,843,615,3003,76.64,76.88,71.5,141.0,273.0,6.0,4.33,6.5,6.0,6.5,7.0,7.0,4.5,7.0,5.0,0.0,0.0,5.0,5.5,5.0,5.0,5.0,6.0,5.0,4.5,5.0,4.0,4.5,5.5,4.0,5.0,5.5,5.5,4.5,4.0,4.0,6.5,6.0,8.0,5.0,5.5,4.5,4.5,4.0,7.5,5.0,,,,1.0,4.0,5.0,0.8018,379.0,2.0,3.0,32.61,14.0,,,0.0,Rennes,Lille,2022-11-06,50.0,0.65583,0.62777,0.64342,
Embolo Breel,A,18,30.0,5.58,5.58,5.58,13,13,13,1.54,1.54,1.54,6,6,6,0.92,0.92,0.92,1005,1005,1005,77.31,77.31,77.31,168.0,168.0,6.0,3.0,6.5,4.0,6.0,7.0,7.0,7.0,4.0,6.5,4.0,4.0,3.0,7.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,2.0,7.0,5.0,0.6732,414.0,5.0,6.0,46.25,23.0,,,0.0,Monaco,Toulouse,2022-11-06,50.0,0.63774,0.65261,0.64803,
Wahi Elye,A,28,40.0,5.29,0.0,5.19,12,0,36,1.34,0.0,1.18,6,0,16,1.0,0.0,0.81,1001,0,2455,83.42,0.0,68.19,167.0,153.0,5.5,4.67,0.0,6.0,3.5,4.0,6.0,5.0,4.5,6.0,7.0,8.0,4.5,4.0,5.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,4.5,6.0,6.5,5.5,4.0,6.0,4.5,4.0,5.5,6.5,2.0,0.0,5.0,6.0,6.0,6.5,4.5,4.5,4.0,,,,1.0,,8.0,0.6932,299.0,3.0,3.0,30.91,13.0,,,6.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
Ouattara Dango,A,16,25.0,6.38,5.67,5.29,12,3,35,1.0,0.58,1.19,5,1,6,1.0,1.0,0.54,1017,270,1809,84.75,90.0,51.69,203.0,302.0,6.0,3.2,6.0,5.0,6.0,0.0,5.0,7.0,8.0,6.5,6.0,7.0,6.5,8.0,5.5,6.0,4.5,5.0,0.0,4.5,6.0,4.5,6.0,3.5,4.5,4.5,3.5,6.0,4.5,4.5,0.0,0.0,0.0,0.0,6.5,3.5,4.5,4.5,4.0,4.5,4.5,,1.0,1.0,4.0,5.0,6.0,0.6323,523.0,15.0,13.0,51.27,11.0,,,5.0,Lorient,Paris,2022-11-06,50.0,0.47207,0.45952,0.434,
Tetê,MO,22,37.0,5.73,0.0,5.75,11,0,20,1.33,0.0,1.07,5,0,7,0.91,0.0,0.85,789,0,1374,71.73,0.0,68.7,158.0,196.0,6.0,4.4,0.0,0.0,4.5,7.0,4.5,4.5,5.0,5.0,6.5,4.5,8.0,6.0,7.5,6.5,7.0,5.5,6.0,5.0,6.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,1.0,2.0,3.0,7.0,0.7439,497.0,9.0,4.0,46.74,6.0,,,6.0,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Ben Yedder Wissam,A,35,57.0,5.45,6.07,5.56,11,7,40,1.49,1.57,1.31,5,5,26,0.91,0.86,0.85,723,472,2776,65.73,67.43,69.4,145.0,107.0,5.0,7.0,5.5,7.0,4.0,6.0,8.5,7.0,4.5,0.0,4.5,4.0,4.5,4.5,0.0,6.0,8.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,7.5,4.5,5.0,6.0,5.0,4.0,7.5,6.0,8.0,0.0,6.0,3.5,6.0,5.0,5.0,6.0,4.0,1.0,,,2.0,2.0,4.0,0.772,338.0,2.0,3.0,38.81,5.0,,,0.0,Monaco,Toulouse,2022-11-06,50.0,0.63774,0.65261,0.64803,
Delort Andy,A,33,49.0,5.0,0.0,5.13,11,0,39,1.02,0.0,1.33,5,0,19,0.82,0.0,0.85,744,0,2924,67.64,0.0,74.97,149.0,154.0,6.0,6.6,0.0,0.0,6.0,6.0,4.5,4.0,6.0,4.0,6.0,3.5,5.0,6.0,4.0,8.0,4.0,8.0,6.5,4.0,4.5,7.5,4.0,6.0,3.5,5.0,6.5,5.0,4.5,4.0,3.5,0.0,5.0,6.0,4.0,0.0,4.0,5.0,3.5,5.0,2.0,3.0,,,,1.0,11.0,0.6308,311.0,1.0,,44.19,7.0,,,6.0,Nice,Brest,2022-11-06,50.0,0.477,0.51163,0.51277,† Cuisse
Diallo Habib,A,25,37.0,4.96,4.96,5.06,13,13,36,1.07,1.07,1.11,5,5,13,0.92,0.92,0.67,1015,1015,2171,78.08,78.08,60.31,203.0,167.0,5.0,5.0,4.0,4.0,3.0,6.0,6.5,6.0,4.5,5.0,6.0,4.0,4.5,5.0,6.0,4.5,4.5,5.0,4.5,4.0,6.0,5.0,0.0,4.5,4.0,4.5,4.0,5.0,6.0,4.5,0.0,0.0,0.0,0.0,0.0,5.0,7.5,0.0,3.5,5.0,2.5,1.0,,,,2.0,7.0,0.6826,393.0,6.0,2.0,42.07,13.0,,,0.0,Strasbourg,Ajaccio,2022-11-05,44.82000000000001,0.48208,0.48539,0.48543,
Bamba Jonathan,MO,21,30.0,5.96,5.96,5.5,13,13,40,0.99,0.99,0.86,4,4,5,0.92,0.92,0.9,1083,1083,3191,83.31,83.31,79.78,271.0,638.0,5.0,5.25,4.5,7.0,5.5,5.5,5.5,6.5,4.5,7.0,7.0,7.5,5.0,6.0,6.0,5.0,5.0,5.5,4.5,0.0,4.5,6.0,6.0,5.5,5.5,4.0,7.0,6.5,6.0,6.0,4.5,4.5,5.0,0.0,5.5,5.0,5.5,5.0,5.5,0.0,4.0,,,,3.0,4.0,13.0,0.8258,767.0,10.0,5.0,40.4,18.0,,,5.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,Sursis
Ito Junya,A,17,24.0,5.8,6.5,5.8,10,2,10,1.06,0.71,1.06,4,1,4,0.9,1.0,0.9,735,180,735,73.5,90.0,73.5,184.0,184.0,6.0,4.25,6.0,7.0,0.0,0.0,6.0,6.0,5.0,4.5,7.0,7.0,5.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,1.0,5.0,18.0,0.7127,364.0,2.0,4.0,43.18,7.0,,,0.0,Reims,Nantes,2022-11-06,50.0,0.46319,0.45885,0.46317,
Simon Moses,MO,23,29.0,5.59,5.21,5.56,11,7,33,1.43,1.32,1.19,4,2,9,1.0,1.0,0.97,923,573,2629,83.91,81.86,79.67,231.0,292.0,6.0,5.75,5.0,6.0,7.0,3.5,4.0,4.5,6.5,0.0,0.0,8.0,4.5,7.0,5.5,0.0,4.0,0.0,7.5,7.5,3.5,6.0,4.0,0.0,5.0,5.0,5.5,0.0,6.5,7.0,4.5,0.0,0.0,0.0,6.0,6.0,5.0,5.5,5.0,0.0,2.0,1.0,,1.0,2.0,3.0,9.0,0.7443,415.0,2.0,8.0,43.82,4.0,,,7.0,Nantes,Reims,2022-11-06,50.0,0.49983,0.46611,0.48028,
Mostafa Mohamed,A,11,17.0,5.46,5.46,5.46,13,13,13,0.92,0.92,0.92,4,4,4,0.46,0.46,0.46,692,692,692,53.23,53.23,53.23,173.0,173.0,6.0,2.75,6.0,5.0,7.0,4.5,5.0,5.0,4.5,5.0,6.5,7.0,6.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,1.0,1.0,2.0,5.0,0.6302,229.0,2.0,4.0,44.64,14.0,,,0.0,Nantes,Reims,2022-11-06,50.0,0.49983,0.46611,0.48028,
Laborde Gaëtan,A,35,51.0,5.42,5.31,5.43,12,8,42,0.93,0.92,1.23,4,2,14,0.75,0.75,0.88,805,554,3204,67.08,69.25,76.29,201.0,229.0,6.0,8.75,7.0,5.0,4.5,4.5,6.0,4.5,6.0,5.0,0.0,6.5,5.0,6.5,4.5,4.0,5.0,3.5,4.5,6.0,3.5,4.0,6.0,5.0,4.5,6.5,7.5,6.0,6.0,4.5,6.5,4.0,8.0,4.0,5.5,4.0,7.0,4.0,6.5,6.0,2.0,,,,,2.0,7.0,0.721,334.0,3.0,6.0,47.25,3.0,,,0.0,Nice,Brest,2022-11-06,50.0,0.477,0.51163,0.51277,
Toko-Ekambi Karl,A,34,47.0,5.38,5.38,5.73,13,13,35,1.16,1.16,1.2,4,4,15,0.77,0.77,0.83,907,907,2620,69.77,69.77,74.86,227.0,175.0,6.0,8.5,4.0,5.0,4.5,6.0,5.0,5.0,6.0,7.5,7.5,4.0,6.0,4.5,5.0,5.0,4.5,5.0,7.0,8.0,0.0,7.5,7.0,0.0,5.5,4.5,6.5,5.5,6.0,7.0,0.0,0.0,0.0,0.0,4.5,0.0,4.0,6.5,6.0,0.0,4.0,,,,1.0,3.0,4.0,0.862,557.0,6.0,4.0,32.73,7.0,,,7.0,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Sánchez Alexis,A,19,36.0,5.2,0.0,5.1,10,0,34,1.27,0.0,0.96,4,0,9,0.8,0.0,0.44,681,0,1490,68.1,0.0,43.82,170.0,166.0,6.0,4.75,0.0,5.0,4.5,4.0,0.0,4.5,6.0,6.5,4.0,8.0,5.0,4.5,0.0,0.0,4.0,6.0,5.0,4.5,6.5,0.0,0.0,4.5,6.0,0.0,4.5,4.5,4.5,4.5,5.0,4.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,0.0,3.5,,,,,4.0,10.0,0.8135,380.0,1.0,5.0,37.36,14.0,,,0.0,Marseille,Lyon,2022-11-06,50.0,0.6307,0.63426,0.6454,
Gameiro Kevin,A,22,33.0,5.19,5.19,5.23,13,13,40,1.01,1.01,1.16,4,4,14,0.77,0.77,0.8,887,887,2768,68.23,68.23,69.2,222.0,198.0,5.5,5.5,7.0,5.5,4.0,6.5,6.0,4.5,5.0,4.5,4.5,4.0,5.0,6.5,4.5,3.0,4.5,6.0,6.5,4.0,6.0,6.0,5.5,5.0,4.5,5.5,4.5,5.0,5.0,6.0,0.0,7.5,7.0,4.0,6.0,4.5,4.0,7.0,4.5,2.5,2.0,,,,,,10.0,0.7841,472.0,4.0,3.0,40.85,5.0,,,0.0,Strasbourg,Ajaccio,2022-11-05,44.82000000000001,0.48208,0.48539,0.48543,
Cabella Rémy,MO,13,18.0,6.86,7.33,5.96,7,3,12,0.8,0.76,1.32,3,3,3,0.86,1.0,0.75,547,263,860,78.14,87.67,71.67,182.0,287.0,7.5,4.33,6.5,8.0,7.5,0.0,6.0,0.0,0.0,6.5,0.0,0.0,0.0,6.0,7.5,0.0,0.0,0.0,4.0,4.0,5.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,4.0,3.0,5.0,0.8677,522.0,3.0,8.0,45.45,5.0,,,0.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,
Tardieu Florian,MD,17,22.0,5.77,0.0,5.72,11,0,32,0.65,0.0,1.03,3,0,7,0.91,0.0,0.94,880,0,2701,80.0,0.0,84.41,293.0,386.0,6.0,5.67,0.0,0.0,5.5,5.5,6.0,5.0,5.0,6.0,7.0,6.5,6.0,5.0,6.0,5.0,5.0,7.0,8.5,5.5,5.0,7.5,5.5,6.0,6.0,6.5,0.0,5.0,4.0,3.0,5.0,0.0,5.5,0.0,0.0,6.0,6.0,7.0,5.5,5.0,,3.0,,,,,3.0,0.9078,829.0,23.0,18.0,58.0,11.0,,,0.0,Troyes,Auxerre,2022-11-04,0.22,0.42392,0.43272,0.42649,† Tendon d'Achille
Del Castillo Romain,A,8,10.0,5.71,5.67,5.33,7,6,24,1.35,1.47,1.16,3,2,3,0.57,0.67,0.63,357,341,1204,51.0,56.83,50.17,119.0,401.0,6.0,2.67,5.0,8.0,4.5,7.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,3.5,0.0,0.0,4.5,5.5,7.5,4.0,6.0,5.5,5.5,6.0,6.5,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.5,1.5,2.0,,,2.0,2.0,5.0,0.6686,266.0,3.0,9.0,44.93,5.0,,,0.0,Brest,Nice,2022-11-06,50.0,0.34379,0.34522,0.36343,Sursis (9sem.)
Rafael Ratão,A,13,21.0,5.67,0.0,5.55,9,0,33,0.94,0.0,1.1,3,0,14,0.89,0.0,0.67,586,0,1974,65.11,0.0,59.82,195.0,141.0,6.0,4.33,0.0,5.0,5.5,6.5,0.0,0.0,0.0,5.0,4.5,5.0,7.0,7.0,5.5,0.0,6.0,4.0,6.0,5.0,6.0,7.5,4.0,4.0,0.0,6.5,6.0,0.0,5.5,7.0,7.0,5.0,3.5,6.0,0.0,6.0,6.5,4.5,5.0,4.5,2.0,,,,,,4.0,0.7558,370.0,10.0,12.0,45.88,9.0,,,0.0,Toulouse,Monaco,2022-11-06,50.0,0.40192,0.42868,0.42487,
Savanier Téji,MO,32,42.0,5.65,5.5,5.95,10,7,31,1.38,1.29,1.4,3,1,9,1.0,1.0,0.97,868,603,2597,86.8,86.14,83.77,289.0,289.0,6.0,10.67,4.5,4.5,4.5,6.0,6.0,8.0,5.0,0.0,0.0,0.0,5.5,4.5,8.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,4.0,6.0,7.0,5.5,5.0,4.0,7.5,5.5,0.0,0.0,5.0,0.0,8.0,7.5,6.0,8.0,0.0,3.0,,1.0,,1.0,1.0,3.0,12.0,0.7869,780.0,10.0,14.0,55.37,14.0,,,6.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,Sursis (9sem.)
Pépé Nicolas,MO,15,24.0,5.55,5.55,4.98,10,10,26,0.64,0.64,0.74,3,3,4,0.8,0.8,0.35,745,745,1066,74.5,74.5,41.0,248.0,267.0,5.0,5.0,5.0,5.0,5.5,7.0,5.0,5.0,6.0,5.5,6.0,5.5,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,4.5,4.5,0.0,4.0,4.5,4.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,0.0,0.0,4.5,0.0,0.0,2.0,2.0,,,,1.0,12.0,0.8426,497.0,1.0,4.0,49.52,8.0,,,0.0,Nice,Brest,2022-11-06,50.0,0.477,0.51163,0.51277,
Nordin Arnaud,MO,16,20.0,5.5,5.5,5.08,11,11,38,1.1,1.1,1.18,3,3,7,0.91,0.91,0.71,781,781,2255,71.0,71.0,59.34,260.0,322.0,6.0,5.33,4.0,4.5,5.0,5.0,4.5,6.0,6.0,5.0,7.5,7.0,6.0,0.0,0.0,4.5,4.5,4.0,3.5,4.0,6.0,5.0,6.0,3.5,4.5,4.5,4.0,5.0,5.0,4.0,8.0,3.5,0.0,0.0,5.5,4.5,4.0,4.0,0.0,6.0,3.5,,,,1.0,,12.0,0.793,316.0,3.0,3.0,50.0,8.0,,,0.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
Boufal Sofiane,MO,23,29.0,5.5,0.0,5.33,11,0,33,1.18,0.0,1.0,3,0,9,0.73,0.0,0.91,720,0,2578,65.45,0.0,78.12,240.0,286.0,5.5,7.67,0.0,5.0,4.5,7.0,5.0,5.0,6.5,3.0,7.0,5.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.5,5.0,5.5,6.0,5.0,4.0,4.5,6.0,5.0,4.0,0.0,0.0,0.0,4.5,4.5,7.5,4.5,6.5,4.5,1.0,2.0,,,3.0,5.0,8.0,0.7936,549.0,3.0,6.0,41.86,17.0,,,5.5,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,† Incertain
Cham Muhammed,MO,15,18.0,5.5,5.5,5.5,13,13,13,1.15,1.15,1.15,3,3,3,0.77,0.77,0.77,821,821,821,63.15,63.15,63.15,274.0,274.0,6.0,5.0,4.5,6.5,6.0,5.0,5.5,5.5,4.5,6.5,4.5,6.0,5.5,8.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,,1.0,2.0,1.0,3.0,0.8536,596.0,5.0,7.0,45.87,11.0,,,0.0,Clermont,Montpellier,2022-11-06,50.0,0.32168,0.35121,0.3711,
Suárez Luis,A,13,17.0,5.36,0.0,4.88,7,0,34,1.49,0.0,1.16,3,0,9,0.29,0.0,0.79,290,0,2419,41.43,0.0,71.15,97.0,269.0,5.0,4.33,0.0,0.0,0.0,4.0,7.0,4.0,0.0,6.0,0.0,4.0,5.0,0.0,7.5,4.5,5.0,4.0,7.0,5.0,4.0,0.0,4.0,4.0,6.0,4.0,4.0,4.0,4.5,4.0,0.0,4.0,7.0,0.0,5.0,0.0,4.5,4.5,5.0,5.0,2.0,,,,1.0,,2.0,0.6701,130.0,3.0,1.0,40.91,6.0,,,0.0,Marseille,Lyon,2022-11-06,50.0,0.6307,0.63426,0.6454,
Dejaegere Brecht,MO,11,11.0,5.3,5.6,5.22,10,5,27,1.11,1.39,0.9,3,3,4,0.9,1.0,0.78,677,373,1556,67.7,74.6,57.63,226.0,389.0,6.0,3.67,3.5,6.0,6.5,5.0,7.0,0.0,0.0,5.5,4.5,4.0,5.0,6.0,0.0,5.5,6.0,5.5,7.0,5.0,4.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,5.5,4.5,4.0,1.0,,,,,1.0,2.0,0.8241,321.0,6.0,7.0,38.46,22.0,,,0.0,Toulouse,Monaco,2022-11-06,50.0,0.40192,0.42868,0.42487,
Aboukhlal Zakaria,MO,15,16.0,5.27,5.27,5.27,13,13,13,1.15,1.15,1.15,3,3,3,0.92,0.92,0.92,1039,1039,1039,79.92,79.92,79.92,346.0,346.0,4.5,5.0,3.5,5.0,5.5,5.5,7.5,5.5,7.0,4.5,4.5,4.5,4.5,6.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,3.0,3.0,12.0,0.6935,486.0,10.0,7.0,39.17,17.0,,,0.0,Toulouse,Monaco,2022-11-06,50.0,0.40192,0.42868,0.42487,Sursis (10sem.)
